time,Hs,Tp,Dm,storm,storm_new
1/5/1980 14:00,2.1640625,7.03125,47.859375,2,1
1/5/1980 15:00,2.2890625,7.1796875,40.234375,2,1
1/5/1980 16:00,2.3984375,7.2890625,33.3671875,2,1
1/5/1980 17:00,2.5078125,7.34375,27.515625,2,1
1/5/1980 18:00,2.6171875,7.4296875,22.9609375,2,1
1/5/1980 19:00,2.7109375,7.609375,20.0625,2,1
1/5/1980 20:00,2.7734375,7.9140625,18.171875,2,1
1/5/1980 21:00,2.8359375,8.1640625,16.9609375,2,1
1/5/1980 22:00,2.90625,8.4453125,16.3515625,2,1
1/5/1980 23:00,2.96875,8.796875,16.2109375,2,1
1/6/1980 0:00,3.03125,9.0234375,16.3125,2,1
1/6/1980 1:00,3.0625,9.484375,17.6953125,2,1
1/6/1980 2:00,3.0625,9.7578125,19.8671875,2,1
1/6/1980 3:00,3.0625,10.046875,22.65625,2,1
1/6/1980 4:00,3.078125,10.6640625,26.28125,2,1
1/6/1980 5:00,3.09375,10.9296875,30.296875,2,1
1/6/1980 6:00,3.109375,11.1640625,34,2,1
1/6/1980 7:00,3.1171875,11.421875,36.46875,2,1
1/6/1980 8:00,3.1171875,11.671875,37.9375,2,1
1/6/1980 9:00,3.1015625,11.765625,38.671875,2,1
1/6/1980 10:00,3.078125,11.8203125,38.9921875,2,1
1/6/1980 11:00,3.0390625,11.8203125,38.953125,2,1
1/6/1980 12:00,3,11.8125,38.890625,2,1
1/6/1980 13:00,2.9453125,11.7734375,38.9765625,2,1
1/6/1980 14:00,2.890625,11.7421875,39.4609375,2,1
1/6/1980 15:00,2.84375,11.703125,40.1484375,2,1
1/6/1980 16:00,2.8046875,11.7109375,41.1640625,2,1
1/6/1980 17:00,2.765625,11.734375,42.3203125,2,1
1/6/1980 18:00,2.7421875,11.8046875,43.6875,2,1
1/6/1980 19:00,2.703125,11.875,45.3046875,2,1
1/6/1980 20:00,2.6640625,11.953125,47.203125,2,1
1/6/1980 21:00,2.625,12,49.0234375,2,1
1/6/1980 22:00,2.578125,12.046875,50.7578125,2,1
1/6/1980 23:00,2.53125,12.0625,52.21875,2,1
1/7/1980 0:00,2.4921875,12.0703125,53.515625,2,1
1/7/1980 1:00,2.4453125,12.0546875,54.46875,2,1
1/7/1980 2:00,2.40625,12.0390625,55.28125,2,1
1/7/1980 3:00,2.375,12.0078125,55.9140625,2,1
1/7/1980 4:00,2.34375,12,56.5078125,2,1
1/7/1980 5:00,2.3046875,11.96875,57.0078125,2,1
1/7/1980 6:00,2.28125,11.9765625,57.5078125,2,1
1/7/1980 7:00,2.25,11.96875,57.9140625,2,1
1/7/1980 8:00,2.2109375,12.0078125,58.3359375,2,1
1/7/1980 9:00,2.171875,12.0234375,58.6875,2,1
1/11/1980 14:00,2.1953125,6.8359375,128.7890625,3,2
1/11/1980 15:00,2.2890625,7.1171875,131.546875,3,2
1/11/1980 16:00,2.375,7.3828125,133.4921875,3,2
1/11/1980 17:00,2.453125,7.6953125,134.78125,3,2
1/11/1980 18:00,2.53125,8.0078125,135.5234375,3,2
1/11/1980 19:00,2.640625,8.1796875,136.359375,3,2
