storm,storm_new,time,Hs,Tp,Dm, Water Level, Prediction
2,1,1980-01-05 14:00:00,2.1640625,7.03125,47.859375,0.86,0.35
2,1,1980-01-05 15:00:00,2.2890625,7.1796875,40.234375,0.839,0.313
2,1,1980-01-05 16:00:00,2.3984375,7.2890625,33.3671875,0.668,0.174
2,1,1980-01-05 17:00:00,2.5078125,7.34375,27.515625,0.434,-0.054
2,1,1980-01-05 18:00:00,2.6171875,7.4296875,22.9609375,0.159,-0.324
2,1,1980-01-05 19:00:00,2.7109375,7.609375,20.0625,-0.127,-0.557
2,1,1980-01-05 20:00:00,2.7734375,7.9140625,18.171875,-0.292,-0.682
2,1,1980-01-05 21:00:00,2.8359375,8.1640625,16.9609375,-0.271,-0.693
2,1,1980-01-05 22:00:00,2.90625,8.4453125,16.3515625,-0.133,-0.615
2,1,1980-01-05 23:00:00,2.96875,8.796875,16.2109375,0.034,-0.45
2,1,1980-01-06 00:00:00,3.03125,9.0234375,16.3125,0.211,-0.215
2,1,1980-01-06 01:00:00,3.0625,9.484375,17.6953125,0.394,0.008
2,1,1980-01-06 02:00:00,3.0625,9.7578125,19.8671875,0.516,0.136
2,1,1980-01-06 03:00:00,3.0625,10.046875,22.65625,0.586,0.152
2,1,1980-01-06 04:00:00,3.078125,10.6640625,26.28125,0.562,0.072
2,1,1980-01-06 05:00:00,3.09375,10.9296875,30.296875,0.309,-0.091
2,1,1980-01-06 06:00:00,3.109375,11.1640625,34.0,0.089,-0.306
2,1,1980-01-06 07:00:00,3.1171875,11.421875,36.46875,-0.14,-0.508
2,1,1980-01-06 08:00:00,3.1171875,11.671875,37.9375,-0.216,-0.622
2,1,1980-01-06 09:00:00,3.1015625,11.765625,38.671875,-0.316,-0.621
2,1,1980-01-06 10:00:00,3.078125,11.8203125,38.9921875,-0.286,-0.53
2,1,1980-01-06 11:00:00,3.0390625,11.8203125,38.953125,-0.027,-0.366
2,1,1980-01-06 12:00:00,3.0,11.8125,38.890625,0.153,-0.137
2,1,1980-01-06 13:00:00,2.9453125,11.7734375,38.9765625,0.437,0.101
2,1,1980-01-06 14:00:00,2.890625,11.7421875,39.4609375,0.607,0.258
2,1,1980-01-06 15:00:00,2.84375,11.703125,40.1484375,0.586,0.295
2,1,1980-01-06 16:00:00,2.8046875,11.7109375,41.1640625,0.488,0.222
2,1,1980-01-06 17:00:00,2.765625,11.734375,42.3203125,0.302,0.061
2,1,1980-01-06 18:00:00,2.7421875,11.8046875,43.6875,0.086,-0.165
2,1,1980-01-06 19:00:00,2.703125,11.875,45.3046875,-0.109,-0.405
2,1,1980-01-06 20:00:00,2.6640625,11.953125,47.203125,-0.371,-0.59
2,1,1980-01-06 21:00:00,2.625,12.0,49.0234375,-0.478,-0.67
2,1,1980-01-06 22:00:00,2.578125,12.046875,50.7578125,-0.402,-0.65
2,1,1980-01-06 23:00:00,2.53125,12.0625,52.21875,-0.371,-0.55
2,1,1980-01-07 00:00:00,2.4921875,12.0703125,53.515625,-0.213,-0.374
2,1,1980-01-07 01:00:00,2.4453125,12.0546875,54.46875,-0.06,-0.151
2,1,1980-01-07 02:00:00,2.40625,12.0390625,55.28125,0.226,0.04
2,1,1980-01-07 03:00:00,2.375,12.0078125,55.9140625,0.324,0.133
2,1,1980-01-07 04:00:00,2.34375,12.0,56.5078125,0.269,0.119
2,1,1980-01-07 05:00:00,2.3046875,11.96875,57.0078125,0.165,0.018
2,1,1980-01-07 06:00:00,2.28125,11.9765625,57.5078125,0.001,-0.147
2,1,1980-01-07 07:00:00,2.25,11.96875,57.9140625,-0.298,-0.34
2,1,1980-01-07 08:00:00,2.2109375,12.0078125,58.3359375,-0.426,-0.505
2,1,1980-01-07 09:00:00,2.171875,12.0234375,58.6875,-0.502,-0.585
3,2,1980-01-11 14:00:00,2.1953125,6.8359375,128.7890625,-0.505,-0.451
3,2,1980-01-11 15:00:00,2.2890625,7.1171875,131.546875,-0.356,-0.349
3,2,1980-01-11 16:00:00,2.375,7.3828125,133.4921875,-0.204,-0.208
3,2,1980-01-11 17:00:00,2.453125,7.6953125,134.78125,-0.045,-0.061
3,2,1980-01-11 18:00:00,2.53125,8.0078125,135.5234375,-0.03,0.027
3,2,1980-01-11 19:00:00,2.640625,8.1796875,136.359375,0.007,0.032
3,2,1980-01-11 20:00:00,2.765625,8.4296875,137.2890625,-0.066,-0.028
3,2,1980-01-11 21:00:00,2.8984375,8.7890625,138.125,-0.155,-0.135
3,2,1980-01-11 22:00:00,3.0234375,8.9453125,138.90625,-0.301,-0.284
3,2,1980-01-11 23:00:00,3.140625,9.046875,139.8203125,-0.466,-0.451
3,2,1980-01-12 00:00:00,3.2421875,9.140625,140.953125,-0.645,-0.581
3,2,1980-01-12 01:00:00,3.2890625,9.234375,142.21875,-0.703,-0.621
3,2,1980-01-12 02:00:00,3.296875,9.3046875,143.6953125,-0.673,-0.566
3,2,1980-01-12 03:00:00,3.2890625,9.328125,145.3359375,-0.548,-0.445
3,2,1980-01-12 04:00:00,3.28125,9.3125,147.0625,-0.423,-0.278
3,2,1980-01-12 05:00:00,3.296875,9.3203125,148.65625,-0.21,-0.082
3,2,1980-01-12 06:00:00,3.3203125,9.3671875,150.0,-0.124,0.087
3,2,1980-01-12 07:00:00,3.28125,9.5390625,150.15625,-0.008,0.173
3,2,1980-01-12 08:00:00,3.1796875,9.671875,149.1875,-0.005,0.172
3,2,1980-01-12 09:00:00,3.0625,9.7890625,147.3828125,-0.149,0.101
3,2,1980-01-12 10:00:00,2.9453125,9.875,145.03125,-0.255,-0.033
3,2,1980-01-12 11:00:00,2.8359375,9.9296875,142.4296875,-0.356,-0.212
3,2,1980-01-12 12:00:00,2.71875,9.9609375,139.9609375,-0.542,-0.394
3,2,1980-01-12 13:00:00,2.609375,9.9609375,138.3671875,-0.649,-0.513
3,2,1980-01-12 14:00:00,2.515625,9.9375,136.875,-0.792,-0.533
3,2,1980-01-12 15:00:00,2.4453125,9.9140625,134.7578125,-0.709,-0.473
